"Crittenden, John",34,1786,kentucky,white,male,democrat,6,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"McLean, John",35,1785,new jersey,white,male,democrat,7,01/11/1830,04/04/1861
"Baldwin, Henry",36,1780,connecticut,white,male,democrat,7,01/18/1830,04/21/1844
"Wayne, James Moore",37,1790,georgia,white,male,democrat,7,01/14/1835,07/05/1867
"Taney, Roger Brooke",38,1777,maryland,white,male,democrat,7,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Taney, Roger Brooke",39,1777,taney,white,male,democrat,7,03/28/1836,10/12/1864
"Barbour, Philip Pendelton",40,1783,virginia,white,male,democrat,7,05/12/1836,02/25/1841
"Smith, William",41,1762,california,white,male,democrat,7,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Catron, John",42,1786,pennsylvania,white,male,democrat,7,05/01/1837,05/30/1865
"McKinley, John",43,1780,virginia,white,male,democrat,8,999. UNCLEAR,01/09/1838
"McKinley, John",44,1780,virginia,white,male,democrat,8,01/09/1838,07/19/1852
"Daniel, Peter Vivian",45,1784,virginia,white,male,democrat,8,01/10/1842,05/31/1860
"Spencer, John C.",46,1788,new york,white,male,whig,10,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Walworth, Reuben H.",47,1788,connecticut,white,male,democrat,10,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"King, Edward",48,1794,pennsylvania,white,male,democrat,10,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Spencer, John C.",49,1788,new york,white,male,whig,10,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Walworth, Reuben H.",50,1788,connecticut,white,male,democrat,10,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Walworth, Reuben H.",51,1788,connecticut,white,male,democrat,10,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"King, Edward",52,1794,pennsylvania,white,male,democrat,10,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Nelson, Samuel",53,1792,new york,white,male,democrat,10,02/27/1845,11/28/1872
"Read, John M.",54,1794,pennsylvania,white,male,democrat,10,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Woodward, George W.",55,1809,pennsylvania,white,male,democrat,11,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Woodbury, Levi",56,1789,new hampshire,white,male,democrat,11,09/23/1845,01/03/1846
"Woodbury, Levi",57,1789,new hampshire,white,male,democrat,11,01/03/1846,09/04/1851
"Grier, Robert Cooper",58,1794,pennsylvania,white,male,democrat,11,08/10/1846,01/31/1870
"Curtis, Benjamin Robbins",59,1809,massachusetts,white,male,whig,13,10/10/1851,777. UNCLEAR
"Curtis, Benjamin Robbins",60,1809,massachusetts,white,male,whig,13,999. UNCLEAR,09/30/1857
"Bradford, Edward A.",61,1813,connecticut,white,male,whig,13,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Badger, George E.",62,1795,california,white,male,whig,13,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Micou, William C.",63,1806,louisian,white,male,whig,13,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Campbell, John Archibald",64,1811,georgia,white,male,democrat,14,04/11/1853,04/30/1861
"Clifford, Nathan",65,1803,new hampshire,white,male,democrat,15,01/21/1858,07/25/1881
"Black, Jeremiah S.",66,1810,pennsylvania,white,male,democrat,15,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Swayne, Noah Haynes",67,1804,virginia,white,male,republican,16,01/27/1862,01/24/1881
"Miller, Samuel Freeman",68,1816,kentucky,white,male,republican,16,07/21/1862,10/13/1890
"Davis, David",69,1815,maryland,white,male,republican,16,999. UNCLEAR,12/10/1862
"Davis, David",70,1815,maryland,white,male,republican,16,12/10/1862,03/04/1877
"Field, Stephen Johnson",71,1816,connecticut,white,male,democrat,16,05/20/1863,12/01/1897
"Chase, Salmon Portland",72,1808,new hampshire,white,male,republican,16,12/15/1864,05/07/1873
"Stanbery, Henry",73,1803,new york,white,male,republican,17,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Hoar, Ebenezer R.",74,1816,massachusetts,white,male,republican,18,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Stanton, Edwin M.",75,1814,ohio,white,male,republican,18,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Strong, William",76,1808,connecticut,white,male,republican,18,03/14/1870,12/14/1880
"Bradley, Joseph P.",77,1813,new york,white,male,republican,18,03/23/1870,01/22/1892
"Hunt, Ward",78,1810,new york,white,male,republican,18,01/09/1873,01/27/1882
"Williams, George H.",79,1823,new york,white,male,republican,18,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Cushing, Caleb",80,1800,massachusetts,white,male,republican,18,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Waite, Morrison Remick",81,1816,connecticut,white,male,republican,18,03/04/1874,03/23/1888
"Harlan, John Marshall (I)",82,1833,kentucky,white,male,republican,19,12/10/1877,10/14/11
"Woods, William Burnham",83,1824,ohio,white,male,republican,19,01/05/1881,05/14/1887
"Matthews, Stanley",84,1824,ohio,white,male,republican,19,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Matthews, Stanley",85,1824,ohio,white,male,republican,20,05/17/1881,03/22/1889
"Gray, Horace",86,1828,massachusetts,white,male,republican,21,01/09/1882,9/15/02
"Conkling, Roscoe",87,1829,new york,white,male,republican,21,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Blatchford, Samuel",88,1820,new york,white,male,republican,21,04/03/1882,07/07/1893
"Lamar, Lucius Quintus Cincinnatus",89,1825,georgia,white,male,democrat,22,01/18/1888,01/23/1893
"Fuller, Melville Weston",90,1833,maine,white,male,democrat,22,10/08/1888,7/4/10
"Brewer, David Josiah",91,1837,asia min,white,male,republican,23,01/06/1890,3/28/10
"Brown, Henry Billings",92,1836,massachusetts,white,male,republican,23,01/05/1891,5/28/06
"Shiras, George, Jr.",93,1832,pennsylvania,white,male,republican,23,10/10/1892,2/23/03
"Jackson, Howell Edmunds",94,1832,tennesse,white,male,democrat,23,03/04/1893,08/08/1895
"Hornblower, William B.",95,1851,new jersey,white,male,democrat,24,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Hornblower, William B.",96,1851,new jersey,white,male,democrat,24,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Peckham, Wheeler H.",97,1833,new york,white,male,democrat,24,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"White, Edward Douglass",98,1845,louisian,white,male,democrat,24,03/12/1894,12/18/10
"Peckham, Rufus Wheeler",99,1838,new york,white,male,democrat,24,01/06/1896,10/24/09
"McKenna, Joseph",100,1843,pennsylvania,white,male,republican,25,01/26/1898,1/5/25
"Holmes, Oliver Wendell, Jr",101,1841,massachusetts,white,male,republican,26,999. UNCLEAR,12/8/02
"Holmes, Oliver Wendell, Jr",102,1841,massachusetts,white,male,republican,26,12/8/02,1/12/32
"Day, William Rufus",103,1849,ohio,white,male,republican,26,3/2/03,11/13/22
"Moody, William Henry",104,1853,massachusetts,white,male,republican,26,12/17/06,11/20/10
"Lurton, Horace Harmon",105,1844,kentucky,white,male,democrat,27,1/3/10,7/12/14
"Hughes, Charles Evans",106,1862,new york,white,male,republican,27,10/10/10,6/10/16
"White, Edward Douglass",107,1845,louisian,white,male,democrat,27,12/19/10,5/19/21
"Van Devanter, Willis",108,1859,indiana,white,male,republican,27,1/3/11,6/2/37
"Lamar, Joseph Rucker",109,1857,georgia,white,male,democrat,27,1/3/11,1/2/16
"Pitney, Mahlon",110,1858,new jersey,white,male,republican,27,3/18/12,12/31/22
"McReynolds, James Clark",111,1862,kentucky,white,male,democrat,28,10/12/14,1/31/41
"Brandeis, Louis Dembitz",112,1856,kentucky,white,male,republican,28,6/5/16,2/13/39
"Clarke, John Hessin",113,1857,ohio,white,male,democrat,28,10/9/16,9/18/22
"Taft, William Howard",114,1857,ohio,white,male,republican,29,7/11/21,2/3/30
"Sutherland, George",115,1862,england,white,male,republican,29,10/2/22,1/17/38
"Butler, Pierce",116,1866,minnesota,white,male,democrat,29,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Butler, Pierce",117,1866,minnesota,white,male,democrat,29,1/2/23,11/16/39
"Sanford, Edward Terry",118,1865,tennesse,white,male,republican,29,2/19/23,3/8/30
"Stone, Harlan Fiske",119,1872,new hampshire,white,male,republican,30,3/2/25,7/2/41
"Hughes, Charles Evans",120,1862,new york,white,male,republican,31,2/24/30,7/1/41
"Parker, John J.",121,1885,california,white,male,republican,31,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Roberts, Owen Josephus",122,1875,pennsylvania,white,male,republican,31,6/2/30,7/31/45
"Cardozo, Benjamin Nathan",123,1870,new york,white,male,democrat,31,3/14/32,7/9/38
"Black, Hugo Lafayette",124,1886,alabama,white,male,democrat,32,8/19/37,9/17/71
"Reed, Stanley Forman",125,1884,kentucky,white,male,democrat,32,1/31/38,2/25/57
"Frankfurter, Felix",126,1882,austria,white,male,independ,32,1/30/39,8/28/62
"Douglas, William Orville",127,1898,minnesota,white,male,democrat,32,4/17/39,11/12/75
"Murphy, Francis (Frank) William",128,1890,michigan,white,male,democrat,32,2/5/40,7/19/49
"Stone, Harlan Fiske",129,1872,new hampshire,white,male,republican,32,7/3/41,4/22/46
"Byrnes, James Frances",130,1879,california,white,male,democrat,32,7/8/41,10/3/42
"Jackson, Robert Houghwout",131,1892,pennsylvania,white,male,democrat,32,7/11/41,10/9/54
"Rutledge, Wiley Blount",132,1894,kentucky,white,male,democrat,32,2/15/43,9/10/49
"Burton, Harold Hitz",133,1888,massachusetts,white,male,republican,33,10/1/45,10/13/58
"Vinson, Fred Moore",134,1890,kentucky,white,male,democrat,33,6/24/46,9/8/53
"Clark, Tom Campbell",135,1899,texas,white,male,democrat,33,8/24/49,6/12/67
"Minton, Sherman",136,1890,indiana,white,male,democrat,33,10/12/49,10/15/56
"Warren, Earl",137,1891,california,white,male,republican,34,10/5/53,3/2/54
"Warren, Earl",138,1891,california,white,male,republican,34,3/2/54,6/23/69
"Harlan, John Marshall (II)",139,1899,illinois,white,male,republican,34,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Harlan, John Marshall (II)",140,1899,illinois,white,male,republican,34,3/28/55,9/23/71
"Brennan, William Joseph, Jr.",141,1906,new jersey,white,male,democrat,34,10/16/56,3/22/57
"Brennan, William Joseph, Jr.",142,1906,new jersey,white,male,democrat,34,3/22/57,7/20/90
"Whittaker, Charles Evans",143,1901,kansas,white,male,republican,34,3/25/57,3/31/62
"Stewart, Potter",144,1915,michigan,white,male,republican,34,10/14/58,5/15/59
"Stewart, Potter",145,1915,michigan,white,male,republican,34,5/15/59,7/3/81
"White, Byron Raymond",146,1917,colorado,white,male,democrat,35,4/16/62,6/28/93
"Goldberg, Arthur Joseph",147,1908,illinois,white,male,democrat,35,10/1/62,7/25/65
"Fortas, Abe",148,1910,tennesse,white,male,democrat,36,10/4/65,5/14/69
"Marshall, Thurgood",149,1908,maryland,black,male,democrat,36,10/2/67,10/1/91
"Fortas, Abe",150,1910,tennesse,white,male,democrat,36,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Thornberry, William Homer",151,1909,texas,white,male,democrat,36,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Burger, Warren Earl",152,1909,minnesota,white,male,republican,37,6/23/69,9/26/86
"Haynsworth, Clement, Jr.",153,1912,california,white,male,democrat,37,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Carswell, G. Harrold",154,1919,georgia,white,male,republican,37,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Blackmun, Harry Andrew",155,1908,illinois,white,male,republican,37,6/9/70,8/3/94
"Powell, Lewis Franklin, Jr.",156,1907,virginia,white,male,democrat,37,1/7/72,6/26/87
"Rehnquist, William Hubbs",157,1924,wisconsi,white,male,republican,37,1/7/72,9/26/86
"Stevens, John Paul",158,1920,illinois,white,male,republican,38,12/19/75,6/30/10
"O'Connor, Sandra Day",159,1930,texas,white,female,republican,40,9/25/81,1/31/06
"Rehnquist, William Hubbs",160,1924,wisconsi,white,male,republican,40,9/26/86,9/3/05
"Scalia, Antonin",161,1936,new jersey,white,male,republican,40,9/26/86,PRESENT
"Bork, Robert H.",162,1927,pennsylvania,white,male,republican,40,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Kennedy, Anthony McLeod",163,1936,california,white,male,republican,40,2/18/88,PRESENT
"Souter, David H.",164,1939,massachusetts,white,male,republican,41,10/9/90,6/30/09
"Thomas, Clarence",165,1948,georgia,black,male,republican,41,10/23/91,PRESENT
"Ginsburg, Ruth Bader",166,1933,new york,white,female,democrat,42,8/10/93,PRESENT
"Breyer, Stephen G.",167,1938,california,white,male,democrat,42,8/3/94,PRESENT
"Roberts, John G., Jr.",168,1955,new york,white,male,republican,43,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Roberts, John G., Jr.",169,1955,new york,white,male,republican,43,9/29/05,PRESENT
"Miers, Harriet E.",170,1945,texas,white,female,republican,43,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Alito, Samuel A., Jr.",171,1950,new jersey,white,male,republican,43,1/31/06,PRESENT
"Sotomayor, Sonia Maria",172,1954,new york,Hispanic,female,democrat,44,9/9/09,PRESENT
"Kagan, Elena",173,1960,new york,white,female,democrat,44,8/7/10,PRESENT
